Order,Company,Index,File/Directory,Number,Percent,PercentAll
By changed lines,Weaveworks,6,cmd/kubeadm,774,14.103,0.098
By changed lines,Weaveworks,6,pkg/util,665,12.117,0.084
By changed lines,Weaveworks,6,cmd/kubeadm/app,628,11.443,0.08
By changed lines,Weaveworks,6,pkg/kubeadm/cmd/manual.go,600,10.933,0.076
By changed lines,Weaveworks,6,api,491,8.947,0.062
By changed lines,Weaveworks,6,pkg/util/cert,453,8.254,0.057
By changed lines,Weaveworks,6,cmd/kubeadm/app/master,353,6.432,0.045
By changed lines,Weaveworks,6,api/swagger-spec,329,5.995,0.042
By changed lines,Weaveworks,6,pkg/kubeadm/master/manifests.go,280,5.102,0.035
By changed lines,Weaveworks,6,pkg/kubeadm/master/apiclient.go,224,4.082,0.028
By changed lines,Weaveworks,6,pkg/kubeadm/util,217,3.954,0.028
By changed lines,Weaveworks,6,pkg/util/crypto/crypto.go,212,3.863,0.027
By changed lines,Weaveworks,6,pkg/kubeadm/master/pki.go,206,3.754,0.026
By changed lines,Weaveworks,6,pkg/kubeadm/node,201,3.663,0.025
By changed lines,Weaveworks,6,pkg/kubeadm/master/addons.go,191,3.48,0.024
By changed lines,Weaveworks,6,pkg/util/cert/cert.go,190,3.462,0.024
By changed lines,Weaveworks,6,pkg/kubeadm/cmd/init.go,175,3.189,0.022
By changed lines,Weaveworks,6,cmd/kubeadm/app/master/manifests.go,166,3.025,0.021
By changed lines,Weaveworks,6,api/openapi-spec,162,2.952,0.021
All By changed lines,Hyper.sh,7,"",5271,0.668,0.668
By changed lines,Hyper.sh,7,pkg,4659,88.389,0.591
By changed lines,Hyper.sh,7,pkg/kubelet,4612,87.498,0.585
By changed lines,Hyper.sh,7,pkg/kubelet/kuberuntime,2240,42.497,0.284
By changed lines,Hyper.sh,7,pkg/kubelet/api,1567,29.729,0.199
By changed lines,Hyper.sh,7,pkg/kubelet/api/v1alpha1/runtime,1537,29.16,0.195
By changed lines,Hyper.sh,7,pkg/kubelet/api/v1alpha1/runtime/api.pb.go,1391,26.39,0.176
By changed lines,Hyper.sh,7,pkg/kubelet/kuberuntime/kuberuntime_manager.go,678,12.863,0.086
By changed lines,Hyper.sh,7,pkg/kubelet/dockershim,631,11.971,0.08
By changed lines,Hyper.sh,7,pkg/kubelet/kuberuntime/kuberuntime_container.go,469,8.898,0.059
By changed lines,Hyper.sh,7,pkg/kubelet/kuberuntime/kuberuntime_manager_test.go,345,6.545,0.044
By changed lines,Hyper.sh,7,pkg/kubelet/kuberuntime/kuberuntime_gc.go,280,5.312,0.035
By changed lines,Hyper.sh,7,test,275,5.217,0.035
By changed lines,Hyper.sh,7,pkg/kubelet/dockershim/security_context_test.go,265,5.028,0.034
By changed lines,Hyper.sh,7,plugin/pkg/scheduler,257,4.876,0.033
By changed lines,Hyper.sh,7,test/e2e_node,252,4.781,0.032
By changed lines,Hyper.sh,7,pkg/kubelet/dockershim/security_context.go,169,3.206,0.021
By changed lines,Hyper.sh,7,pkg/kubelet/api/v1alpha1/runtime/api.proto,146,2.77,0.019
By changed lines,Hyper.sh,7,pkg/kubelet/kuberuntime/kuberuntime_gc_test.go,142,2.694,0.018
By changed lines,Hyper.sh,7,test/e2e_node/log_path_test.go,132,2.504,0.017
By changed lines,Hyper.sh,7,plugin/pkg/scheduler/equivalence_cache.go,132,2.504,0.017
By changed lines,Hyper.sh,7,pkg/kubelet/kuberuntime/security_context.go,128,2.428,0.016
By changed lines,Hyper.sh,7,test/e2e_node/noadmit_taint_test.go,117,2.22,0.015
All By changed lines,CoreOS,8,"",3582,0.454,0.454
By changed lines,CoreOS,8,pkg,2361,65.913,0.299
By changed lines,CoreOS,8,pkg/kubelet,1474,41.15,0.187
By changed lines,CoreOS,8,pkg/kubelet/api/v1alpha1/runtime,720,20.101,0.091
By changed lines,CoreOS,8,pkg/kubelet/api/v1alpha1/runtime/api.pb.go,557,15.55,0.071
By changed lines,CoreOS,8,cluster,477,13.317,0.06
By changed lines,CoreOS,8,pkg/kubelet/rktshim,435,12.144,0.055
By changed lines,CoreOS,8,pkg/registry,426,11.893,0.054
By changed lines,CoreOS,8,docs,380,10.609,0.048
By changed lines,CoreOS,8,cluster/images/etcd/rollback,374,10.441,0.047
By changed lines,CoreOS,8,pkg/storage,373,10.413,0.047
By changed lines,CoreOS,8,cluster/images/etcd/rollback/rollback.go,329,9.185,0.042
By changed lines,CoreOS,8,pkg/registry/generic,319,8.906,0.04
By changed lines,CoreOS,8,docs/proposals,316,8.822,0.04
By changed lines,CoreOS,8,build-tools/kube-dns/README.md,248,6.924,0.031
By changed lines,CoreOS,8,pkg/registry/generic/registry,237,6.616,0.03
By changed lines,CoreOS,8,pkg/kubelet/rktshim/imagestore_test.go,210,5.863,0.027
By changed lines,CoreOS,8,pkg/kubelet/rkt,187,5.221,0.024
By changed lines,CoreOS,8,docs/proposals/volume-hostpath-qualifiers.md,179,4.997,0.023
By changed lines,CoreOS,8,pkg/kubelet/api/v1alpha1/runtime/api.proto,163,4.551,0.021
All By changed lines,VMware,9,"",3380,0.428,0.428
By changed lines,VMware,9,pkg,2611,77.249,0.331
By changed lines,VMware,9,pkg/volume,1517,44.882,0.192
