repo,rank_number,actor,company,commits,percent,all_commits
davepacheco/node-verror,1,davepacheco,(Unknown),11,0.00285,385483
davepacheco/node-verror,2,samertm,(Unknown),1,0.00026,385483
devongovett/browserify-istanbul,1,devongovett,(Unknown),23,0.00597,385483
devongovett/browserify-istanbul,2,alexindigo,(Unknown),13,0.00337,385483
devongovett/browserify-istanbul,3,bendrucker,Valet.io,2,0.00052,385483
dotnet/corefx,1,stephentoub,Microsoft,15581,4.04194,385483
dotnet/corefx,2,weshaggard,Microsoft,1786,0.46331,385483
dotnet/corefx,3,safern,Microsoft,1653,0.42881,385483
dougwilson/nodejs-depd,1,dougwilson,Salesforce,148,0.03839,385483
eclipse-ee4j/jaxrs-api,1,mkarg,(Unknown),126,0.03269,385483
eclipse-ee4j/jaxrs-api,2,chkal,Ingenit KG,39,0.01012,385483
eclipse-ee4j/jaxrs-api,3,spericas,Oracle,18,0.00467,385483
eclipse-ee4j/servlet-api,1,arjantijms,(Unknown),28,0.00726,385483
eclipse-ee4j/servlet-api,2,markt-asf,Apache,25,0.00649,385483
eclipse-ee4j/servlet-api,3,stuartwdouglas,Red Hat,21,0.00545,385483
epoberezkin/ajv,1,epoberezkin,MailOnline,1490,0.38653,385483
epoberezkin/ajv,2,epoberezkin,Threads Styling,235,0.06096,385483
epoberezkin/ajv,3,blakeembrey,(Unknown),12,0.00311,385483
expressjs/body-parser,1,dougwilson,Salesforce,366,0.09495,385483
expressjs/body-parser,2,dougwilson,Independent,11,0.00285,385483
expressjs/body-parser,3,govindrai,(Unknown),3,0.00078,385483
expressjs/compression,1,dougwilson,Salesforce,253,0.06563,385483
expressjs/compression,2,LucianBuzzo,(Unknown),2,0.00052,385483
expressjs/compression,3,beeman,(Unknown),1,0.00026,385483
expressjs/cookie-parser,1,dougwilson,Salesforce,139,0.03606,385483
expressjs/cookie-parser,2,kevinsimper,Connected Cars,2,0.00052,385483
expressjs/cookie-parser,3,LinusU,(Unknown),1,0.00026,385483
expressjs/cors,1,dougwilson,Salesforce,112,0.02905,385483
expressjs/cors,2,troygoode,(Unknown),32,0.00830,385483
expressjs/cors,3,etiktin,(Unknown),3,0.00078,385483
expressjs/express,1,dougwilson,Salesforce,542,0.14060,385483
expressjs/express,2,crandmck,(Unknown),14,0.00363,385483
expressjs/express,3,notrab,Apple,9,0.00233,385483
expressjs/morgan,1,dougwilson,Salesforce,207,0.05370,385483
expressjs/morgan,2,beeman,(Unknown),2,0.00052,385483
expressjs/morgan,3,CatTail,adRise,2,0.00052,385483
expressjs/serve-favicon,1,dougwilson,Salesforce,145,0.03762,385483
expressjs/serve-favicon,2,crispen-smith,(Unknown),1,0.00026,385483
expressjs/serve-favicon,3,dougwilson,Independent,1,0.00026,385483
expressjs/session,1,dougwilson,Salesforce,419,0.10869,385483
expressjs/session,2,dougwilson,Independent,13,0.00337,385483
expressjs/session,3,gzurbach,(Unknown),3,0.00078,385483
facebook/prop-types,1,ljharb,Airbnb,35,0.00908,385483
facebook/prop-types,2,gaearon,Independent,26,0.00674,385483
facebook/prop-types,3,aweary,Facebook,14,0.00363,385483
facebook/react,1,gaearon,Independent,2634,0.68330,385483
facebook/react,2,zpao,Facebook,2395,0.62130,385483
facebook/react,3,spicyj,Facebook,1092,0.28328,385483
FasterXML/jackson-annotations,1,cowtowncoder,FasterXML,312,0.08094,385483
FasterXML/jackson-annotations,2,cowtowncoder,Indeed,113,0.02931,385483
FasterXML/jackson-annotations,3,johnjohndoe,(Unknown),2,0.00052,385483
FasterXML/jackson-core,1,cowtowncoder,FasterXML,917,0.23788,385483
FasterXML/jackson-core,2,cowtowncoder,Indeed,410,0.10636,385483
FasterXML/jackson-core,3,mikaelstaldal,(Unknown),7,0.00182,385483
FasterXML/jackson-databind,1,cowtowncoder,FasterXML,2832,0.73466,385483
FasterXML/jackson-databind,2,cowtowncoder,Indeed,1086,0.28172,385483
FasterXML/jackson-databind,3,brenuart,(Unknown),12,0.00311,385483
felixge/node-combined-stream,1,alexindigo,(Unknown),18,0.00467,385483
felixge/node-combined-stream,2,apechimp,(Unknown),13,0.00337,385483
felixge/node-combined-stream,3,jmendeth,(Unknown),3,0.00078,385483
feross/is-buffer,1,feross,BitMidi,42,0.01090,385483
feross/is-buffer,2,feross,Standard JS,41,0.01064,385483
feross/is-buffer,3,LinusU,(Unknown),2,0.00052,385483
feross/safe-buffer,1,feross,Standard JS,58,0.01505,385483
feross/safe-buffer,2,feross,BitMidi,20,0.00519,385483
feross/safe-buffer,3,calvinmetcalf,AppGeo,4,0.00104,385483
form-data/form-data,1,alexindigo,(Unknown),118,0.03061,385483
form-data/form-data,2,mapleeit,(Unknown),24,0.00623,385483
form-data/form-data,3,JBtje,(Unknown),7,0.00182,385483
FortAwesome/Font-Awesome,1,davegandy,Fort Awesome,422,0.10947,385483
FortAwesome/Font-Awesome,2,tagliala,Independent,224,0.05811,385483
FortAwesome/Font-Awesome,3,talbs,Fort Awesome,169,0.04384,385483
google/gson,1,inder123,(Unknown),359,0.09313,385483
google/gson,2,swankjesse,Square,142,0.03684,385483
google/gson,3,JakeWharton,Square,79,0.02049,385483
google/guava,1,cpovirk,Google,1969,0.51079,385483
google/guava,2,cgdecker,Google,1446,0.37511,385483
google/guava,3,ronshapiro,Google,268,0.06952,385483
google/guice,1,sameb,Google,350,0.09080,385483
google/guice,2,ronshapiro,Google,106,0.02750,385483
google/guice,3,dimo414,Google,17,0.00441,385483
gotwarlost/istanbul,1,gotwarlost,(Unknown),202,0.05240,385483
gotwarlost/istanbul,2,davglass,(Unknown),54,0.01401,385483
gotwarlost/istanbul,3,tonylukasavage,(Unknown),4,0.00104,385483
Gozala/querystring,1,Gozala,(Unknown),5,0.00130,385483
Gozala/querystring,2,medikoo,(Unknown),2,0.00052,385483
Gozala/querystring,3,codeclown,(Unknown),1,0.00026,385483
gulpjs/vinyl,1,phated,Lead Gumshoe,368,0.09546,385483
gulpjs/vinyl,2,contra,(Unknown),119,0.03087,385483
gulpjs/vinyl,3,phated,Iced,14,0.00363,385483
hapijs/boom,1,hueniverse,Yahoo,113,0.02931,385483
hapijs/boom,2,arb,(Unknown),79,0.02049,385483
hapijs/boom,3,jarrodyellets,(Unknown),7,0.00182,385483
hapijs/cryptiles,1,hueniverse,Yahoo,54,0.01401,385483
hapijs/cryptiles,2,jarrodyellets,(Unknown),6,0.00156,385483
hapijs/cryptiles,3,Marsup,(Unknown),4,0.00104,385483
hapijs/hoek,1,hueniverse,Yahoo,202,0.05240,385483
hapijs/hoek,2,nlf,(Unknown),125,0.03243,385483
hapijs/hoek,3,kanongil,(Unknown),30,0.00778,385483
hueniverse/hawk,1,hueniverse,Yahoo,106,0.02750,385483
hueniverse/hawk,2,Dreyer,(Unknown),4,0.00104,385483
hueniverse/hawk,3,remy,(Unknown),3,0.00078,385483
hueniverse/sntp,1,hueniverse,Yahoo,28,0.00726,385483
hueniverse/sntp,2,ChALkeR,(Unknown),1,0.00026,385483
hueniverse/sntp,3,hekike,(Unknown),1,0.00026,385483
hughsk/vinyl-buffer,1,phated,Lead Gumshoe,4,0.00104,385483
hughsk/vinyl-buffer,2,Enet4,(Unknown),1,0.00026,385483
hughsk/vinyl-source-stream,1,hughsk,(Unknown),8,0.00208,385483
hughsk/vinyl-source-stream,2,phated,Lead Gumshoe,8,0.00208,385483
hughsk/vinyl-source-stream,3,pascalduez,(Unknown),2,0.00052,385483
isaacs/abbrev-js,1,isaacs,npm,24,0.00623,385483
isaacs/abbrev-js,2,jorrit,(Unknown),1,0.00026,385483
isaacs/inherits,1,isaacs,npm,13,0.00337,385483
isaacs/minimatch,1,isaacs,npm,45,0.01167,385483
isaacs/minimatch,2,MiguelCastillo,(Unknown),1,0.00026,385483
isaacs/minimatch,3,PeterDaveHello,Independent,1,0.00026,385483
isaacs/node-glob,1,isaacs,npm,156,0.04047,385483
isaacs/node-glob,2,schnittstabil,(Unknown),4,0.00104,385483
isaacs/node-glob,3,tanyabrassie,(Unknown),3,0.00078,385483
isaacs/node-graceful-fs,1,isaacs,npm,123,0.03191,385483
isaacs/node-graceful-fs,2,dylang,(Unknown),5,0.00130,385483
isaacs/node-graceful-fs,3,coreyfarrell,(Unknown),4,0.00104,385483
isaacs/node-lru-cache,1,isaacs,npm,112,0.02905,385483
isaacs/node-lru-cache,2,ChrisCinelli,(Unknown),5,0.00130,385483
isaacs/node-lru-cache,3,indutny,(Unknown),3,0.00078,385483
isaacs/node-which,1,isaacs,npm,15,0.00389,385483
isaacs/node-which,2,drcapulet,(Unknown),1,0.00026,385483
isaacs/node-which,3,zkat,(Unknown),1,0.00026,385483
isaacs/once,1,isaacs,npm,9,0.00233,385483
isaacs/once,2,floatdrop,(Unknown),1,0.00026,385483
isaacs/once,3,morenoh149,(Unknown),1,0.00026,385483
isaacs/rimraf,1,isaacs,npm,78,0.02023,385483
isaacs/rimraf,2,PeterDaveHello,Independent,3,0.00078,385483
isaacs/rimraf,3,amilajack,(Unknown),2,0.00052,385483
isaacs/sax-js,1,isaacs,npm,57,0.01479,385483
isaacs/sax-js,2,subzey,(Unknown),4,0.00104,385483
isaacs/sax-js,3,pletcher,(Unknown),3,0.00078,385483
JamesNK/Newtonsoft.Json,1,JamesNK,Microsoft,1081,0.28043,385483
JamesNK/Newtonsoft.Json,2,JonHanna,(Unknown),54,0.01401,385483
JamesNK/Newtonsoft.Json,3,TylerBrinkley,(Unknown),6,0.00156,385483
janvanhelvoort/browserify-conditionalify,1,janvanhelvoort,(Unknown),13,0.00337,385483
jaredhanson/passport,1,jaredhanson,Auth0,116,0.03009,385483
jaredhanson/passport,2,keithharvey,(Unknown),3,0.00078,385483
jaredhanson/passport,3,mjhea0,(Unknown),3,0.00078,385483
jashkenas/underscore,1,jashkenas,Observable,246,0.06382,385483
jashkenas/underscore,2,megawac,Independent,197,0.05110,385483
jashkenas/underscore,3,captbaritone,Facebook,162,0.04203,385483
JedWatson/classnames,1,JedWatson,Thinkmill,170,0.04410,385483
JedWatson/classnames,2,dcousens,(Unknown),79,0.02049,385483
JedWatson/classnames,3,bartriordan,(Unknown),7,0.00182,385483
JohnPostlethwait/stringify,1,JohnPostlethwait,(Unknown),41,0.01064,385483
JohnPostlethwait/stringify,2,matthewdunsdon,(Unknown),8,0.00208,385483
JohnPostlethwait/stringify,3,Samsy,(Unknown),2,0.00052,385483
jonschlinkert/arr-diff,1,jonschlinkert,Sellside,24,0.00623,385483
jonschlinkert/arr-diff,2,doowb,(Unknown),2,0.00052,385483
jonschlinkert/arr-diff,3,EdwardBetts,Cantab Capital Partners,1,0.00026,385483
jonschlinkert/define-property,1,jonschlinkert,Sellside,31,0.00804,385483
jonschlinkert/define-property,2,doowb,(Unknown),7,0.00182,385483
jonschlinkert/define-property,3,tibbon,(Unknown),1,0.00026,385483
jonschlinkert/fill-range,1,jonschlinkert,Sellside,123,0.03191,385483
jonschlinkert/fill-range,2,paulmillr,(Unknown),4,0.00104,385483
jonschlinkert/fill-range,3,bluelovers,(Unknown),2,0.00052,385483
jonschlinkert/is-extendable,1,jonschlinkert,Sellside,8,0.00208,385483
jonschlinkert/is-extendable,2,doowb,(Unknown),7,0.00182,385483
jonschlinkert/is-extendable,3,onokumus,(Unknown),3,0.00078,385483
jonschlinkert/is-extglob,1,jonschlinkert,Sellside,14,0.00363,385483
jonschlinkert/is-glob,1,jonschlinkert,Sellside,39,0.01012,385483
jonschlinkert/is-glob,2,dperezde,(Unknown),1,0.00026,385483
jonschlinkert/is-number,1,jonschlinkert,Sellside,59,0.01531,385483
jonschlinkert/is-number,2,benaadams,Illyriad Games,1,0.00026,385483
jonschlinkert/is-number,3,realityking,(Unknown),1,0.00026,385483
jonschlinkert/isobject,1,jonschlinkert,Sellside,30,0.00778,385483
jonschlinkert/isobject,2,doowb,(Unknown),12,0.00311,385483
jonschlinkert/isobject,3,TrySound,(Unknown),10,0.00259,385483
jonschlinkert/kind-of,1,jonschlinkert,Sellside,112,0.02905,385483
jonschlinkert/kind-of,2,miguelmota,(Unknown),2,0.00052,385483
jonschlinkert/kind-of,3,dtothefp,(Unknown),1,0.00026,385483
joyent/node-http-signature,1,arekinath,Independent,29,0.00752,385483
joyent/node-http-signature,2,pfmooney,(Unknown),3,0.00078,385483
joyent/node-http-signature,3,alokmenghrajani,Square,1,0.00026,385483
joyent/node-jsprim,1,joyent-automation,(Unknown),3,0.00078,385483
joyent/node-jsprim,2,davepacheco,(Unknown),1,0.00026,385483
joyent/node-jsprim,3,jordanhendricks,(Unknown),1,0.00026,385483
joyent/node-sshpk,1,arekinath,Independent,77,0.01997,385483
joyent/node-sshpk,2,joyent-automation,(Unknown),36,0.00934,385483
joyent/node-sshpk,3,cburroughs,(Unknown),5,0.00130,385483
jquery/esprima,1,ariya,Shape,544,0.14112,385483
jquery/esprima,2,ariya,Independent,29,0.00752,385483
jquery/esprima,3,mikesherov,(Unknown),14,0.00363,385483
jquery/jquery,1,timmywil,OpenTable,311,0.08068,385483
jquery/jquery,2,mzgol,Independent,175,0.04540,385483
jquery/jquery,3,markelog,Independent,159,0.04125,385483
jquery/jquery-ui,1,scottgonzalez,jQuery UI,452,0.11726,385483
jquery/jquery-ui,2,fnagel,(Unknown),275,0.07134,385483
jquery/jquery-ui,3,arschmitz,(Unknown),254,0.06589,385483
jquery-validation/jquery-validation,1,Arkni,(Unknown),55,0.01427,385483
jquery-validation/jquery-validation,2,staabm,(Unknown),47,0.01219,385483
jquery-validation/jquery-validation,3,RobJohnston,(Unknown),5,0.00130,385483
jshttp/accepts,1,dougwilson,Salesforce,166,0.04306,385483
jshttp/accepts,2,nooks,(Unknown),1,0.00026,385483
jshttp/http-errors,1,dougwilson,Salesforce,187,0.04851,385483
jshttp/http-errors,2,pluma,(Unknown),2,0.00052,385483
