rank_number,actor,commits,percent,cumulative_sum,cumulative_percent,all_commits
188,ericmartinezr,21,0.00767,23476,8.56963,273944
189,krytarowski,21,0.00767,23497,8.57730,273944
190,philipp-spiess,21,0.00767,23518,8.58497,273944
191,Potapy4,21,0.00767,23539,8.59263,273944
192,SekibOmazic,21,0.00767,23560,8.60030,273944
193,sunn-e,21,0.00767,23581,8.60796,273944
194,timruffles,21,0.00767,23602,8.61563,273944
195,tmorehouse,21,0.00767,23623,8.62330,273944
196,xiaoyinl,21,0.00767,23644,8.63096,273944
197,yungsters,21,0.00767,23665,8.63863,273944
198,bbowyersmyth,20,0.00730,23685,8.64593,273944
199,Drawaes,20,0.00730,23705,8.65323,273944
200,ericmdantas,20,0.00730,23725,8.66053,273944
201,jcblw,20,0.00730,23745,8.66783,273944
202,neilhem,20,0.00730,23765,8.67513,273944
203,OmicronPersei,20,0.00730,23785,8.68243,273944
204,raphamorim,20,0.00730,23805,8.68973,273944
205,scotttrinh,20,0.00730,23825,8.69703,273944
206,sezeresen,20,0.00730,23845,8.70433,273944
207,sjrd,20,0.00730,23865,8.71163,273944
208,willdean,20,0.00730,23885,8.71894,273944
209,719media,19,0.00694,23904,8.72587,273944
210,aickin,19,0.00694,23923,8.73281,273944
211,baooab,19,0.00694,23942,8.73974,273944
212,cebor,19,0.00694,23961,8.74668,273944
213,gionkunz,19,0.00694,23980,8.75361,273944
214,m-alzam,19,0.00694,23999,8.76055,273944
215,marcin-wosinek,19,0.00694,24018,8.76749,273944
216,pdehaan,19,0.00694,24037,8.77442,273944
217,pentp,19,0.00694,24056,8.78136,273944
218,rafaelss95,19,0.00694,24075,8.78829,273944
219,ttowncompiled,19,0.00694,24094,8.79523,273944
220,alexwolfe,18,0.00657,24112,8.80180,273944
221,andreasschroth,18,0.00657,24130,8.80837,273944
222,caesar-chen,18,0.00657,24148,8.81494,273944
223,garhbod,18,0.00657,24166,8.82151,273944
224,jaypinho,18,0.00657,24184,8.82808,273944
225,jeremyvii,18,0.00657,24202,8.83465,273944
226,JustinRChou,18,0.00657,24220,8.84122,273944
227,jvican,18,0.00657,24238,8.84779,273944
228,kadimi,18,0.00657,24256,8.85436,273944
229,kittenking,18,0.00657,24274,8.86094,273944
230,laskoviymishka,18,0.00657,24292,8.86751,273944
231,royklutman,18,0.00657,24310,8.87408,273944
232,sendilkumarn,18,0.00657,24328,8.88065,273944
233,clydin,17,0.00621,24345,8.88685,273944
234,dmjones,17,0.00621,24362,8.89306,273944
235,dota17,17,0.00621,24379,8.89926,273944
236,github-john-doe,17,0.00621,24396,8.90547,273944
237,helmutgranda,17,0.00621,24413,8.91168,273944
238,jbhensley,17,0.00621,24430,8.91788,273944
239,jcouv,17,0.00621,24447,8.92409,273944
240,marocchino,17,0.00621,24464,8.93029,273944
241,matbech,17,0.00621,24481,8.93650,273944
242,mikesherov,17,0.00621,24498,8.94270,273944
243,ochafik,17,0.00621,24515,8.94891,273944
244,piperchester,17,0.00621,24532,8.95511,273944
245,rhenium,17,0.00621,24549,8.96132,273944
246,shuhei,17,0.00621,24566,8.96753,273944
247,sjelin,17,0.00621,24583,8.97373,273944
248,stevermeister,17,0.00621,24600,8.97994,273944
249,syranide,17,0.00621,24617,8.98614,273944
250,tkesgar,17,0.00621,24634,8.99235,273944
251,valorkin,17,0.00621,24651,8.99855,273944
252,arjantijms,16,0.00584,24667,9.00440,273944
253,bastienmoulia,16,0.00584,24683,9.01024,273944
254,bradlygreen,16,0.00584,24699,9.01608,273944
255,chris-smith-zocdoc,16,0.00584,24715,9.02192,273944
256,exoego,16,0.00584,24731,9.02776,273944
257,Goodwine,16,0.00584,24747,9.03360,273944
258,grant-d,16,0.00584,24763,9.03944,273944
259,hoyosjs,16,0.00584,24779,9.04528,273944
260,jackmu95,16,0.00584,24795,9.05112,273944
261,jasonLaster,16,0.00584,24811,9.05696,273944
262,jchawkins725,16,0.00584,24827,9.06280,273944
263,JoseIgor,16,0.00584,24843,9.06864,273944
264,leshasmp,16,0.00584,24859,9.07448,273944
265,lunaruan,16,0.00584,24875,9.08032,273944
266,midzer,16,0.00584,24891,9.08616,273944
267,okazou,16,0.00584,24907,9.09200,273944
268,Puigcerber,16,0.00584,24923,9.09784,273944
269,rdarcy1,16,0.00584,24939,9.10369,273944
270,rxaviers,16,0.00584,24955,9.10953,273944
271,shaneparsons,16,0.00584,24971,9.11537,273944
272,stevehobbsdev,16,0.00584,24987,9.12121,273944
273,TylerBrinkley,16,0.00584,25003,9.12705,273944
274,tylermcginnis,16,0.00584,25019,9.13289,273944
275,vatsan-madhavan,16,0.00584,25035,9.13873,273944
276,vivian-hu,16,0.00584,25051,9.14457,273944
277,wackerm,16,0.00584,25067,9.15041,273944
278,ymeine,16,0.00584,25083,9.15625,273944
279,arvind0598,15,0.00548,25098,9.16173,273944
280,danielsogl,15,0.00548,25113,9.16720,273944
281,dherges,15,0.00548,25128,9.17268,273944
282,drpicox,15,0.00548,25143,9.17815,273944
283,gjungb,15,0.00548,25158,9.18363,273944
284,jahanzaibsuleman07,15,0.00548,25173,9.18910,273944
285,johndoe31415,15,0.00548,25188,9.19458,273944
286,kutyel,15,0.00548,25203,9.20006,273944
287,kvlsrg,15,0.00548,25218,9.20553,273944
288,lacolaco,15,0.00548,25233,9.21101,273944
289,LittleHuba,15,0.00548,25248,9.21648,273944
290,malkomich,15,0.00548,25263,9.22196,273944
291,rheh,15,0.00548,25278,9.22743,273944
292,spacebark,15,0.00548,25293,9.23291,273944
293,Starsam80,15,0.00548,25308,9.23838,273944
294,stevenaw,15,0.00548,25323,9.24386,273944
295,vanillajonathan,15,0.00548,25338,9.24934,273944
296,wenzhixin,15,0.00548,25353,9.25481,273944
297,yuyokk,15,0.00548,25368,9.26029,273944
298,georgewilde,14,0.00511,25382,9.26540,273944
299,hepin1989,14,0.00511,25396,9.27051,273944
300,JaZo,14,0.00511,25410,9.27562,273944
301,juergba,14,0.00511,25424,9.28073,273944
302,jvitela,14,0.00511,25438,9.28584,273944
303,KatherineGShaw,14,0.00511,25452,9.29095,273944
304,kukac7,14,0.00511,25466,9.29606,273944
305,LoicGoyet,14,0.00511,25480,9.30117,273944
306,michaelgeorgeattard,14,0.00511,25494,9.30628,273944
307,mspae,14,0.00511,25508,9.31139,273944
308,nchikanov,14,0.00511,25522,9.31650,273944
309,NikolayPianikov,14,0.00511,25536,9.32161,273944
310,roji,14,0.00511,25550,9.32672,273944
311,spencer1573,14,0.00511,25564,9.33183,273944
312,ssskip,14,0.00511,25578,9.33694,273944
313,vannitotaro,14,0.00511,25592,9.34206,273944
314,x64architecture,14,0.00511,25606,9.34717,273944
315,yangshun,14,0.00511,25620,9.35228,273944
316,yeiacatl,14,0.00511,25634,9.35739,273944
317,adeora,13,0.00475,25647,9.36213,273944
318,alfredmyers,13,0.00475,25660,9.36688,273944
319,atomiomi,13,0.00475,25673,9.37162,273944
320,benbraou,13,0.00475,25686,9.37637,273944
321,BobChao87,13,0.00475,25699,9.38111,273944
322,EasySec,13,0.00475,25712,9.38586,273944
323,guidovranken,13,0.00475,25725,9.39061,273944
324,isaacl,13,0.00475,25738,9.39535,273944
325,jamiekrug,13,0.00475,25751,9.40010,273944
326,jesselpalmer,13,0.00475,25764,9.40484,273944
327,jkotalik,13,0.00475,25777,9.40959,273944
328,JLHwung,13,0.00475,25790,9.41433,273944
329,Kikobeats,13,0.00475,25803,9.41908,273944
330,KostaVlev,13,0.00475,25816,9.42382,273944
331,LeonardoBraga,13,0.00475,25829,9.42857,273944
332,omsmith,13,0.00475,25842,9.43331,273944
333,paulmillr,13,0.00475,25855,9.43806,273944
334,PeteGillin,13,0.00475,25868,9.44281,273944
335,prateekgoel,13,0.00475,25881,9.44755,273944
336,simonihmig,13,0.00475,25894,9.45230,273944
337,splincode,13,0.00475,25907,9.45704,273944
338,sreeramu,13,0.00475,25920,9.46179,273944
339,StringEpsilon,13,0.00475,25933,9.46653,273944
340,tamascsaba,13,0.00475,25946,9.47128,273944
341,TedSander,13,0.00475,25959,9.47602,273944
342,teropa,13,0.00475,25972,9.48077,273944
343,textbook,13,0.00475,25985,9.48552,273944
344,tjvantoll,13,0.00475,25998,9.49026,273944
345,vatsan-madhavan-msft,13,0.00475,26011,9.49501,273944
346,agnosticdev,12,0.00438,26023,9.49939,273944
347,allanrenucci,12,0.00438,26035,9.50377,273944
348,asnowwolf,12,0.00438,26047,9.50815,273944
349,bgw,12,0.00438,26059,9.51253,273944
350,bnjmnt4n,12,0.00438,26071,9.51691,273944
351,brigand,12,0.00438,26083,9.52129,273944
352,craigmichaelmartin,12,0.00438,26095,9.52567,273944
353,dannyskoog,12,0.00438,26107,9.53005,273944
354,dennisdietrich,12,0.00438,26119,9.53443,273944
355,dmytroyarmak,12,0.00438,26131,9.53881,273944
356,ericcarraway,12,0.00438,26143,9.54319,273944
357,escardin,12,0.00438,26155,9.54757,273944
358,FiveTimesTheFun,12,0.00438,26167,9.55195,273944
359,gfoidl,12,0.00438,26179,9.55633,273944
360,heikojansen,12,0.00438,26191,9.56071,273944
361,iamchenxin,12,0.00438,26203,9.56509,273944
362,ikarienator,12,0.00438,26215,9.56947,273944
363,janhenke,12,0.00438,26227,9.57385,273944
364,jrumandal,12,0.00438,26239,9.57823,273944
365,julianobrasil,12,0.00438,26251,9.58262,273944
366,juristr,12,0.00438,26263,9.58700,273944
367,makr,12,0.00438,26275,9.59138,273944
368,MrWolfZ,12,0.00438,26287,9.59576,273944
369,mscdex,12,0.00438,26299,9.60014,273944
370,pickfire,12,0.00438,26311,9.60452,273944
371,romanlex,12,0.00438,26323,9.60890,273944
372,schnittstabil,12,0.00438,26335,9.61328,273944
373,tanmay21,12,0.00438,26347,9.61766,273944
374,Teamop,12,0.00438,26359,9.62204,273944
375,TechDavid,12,0.00438,26371,9.62642,273944
376,tojimjiang,12,0.00438,26383,9.63080,273944
377,vamsivarikuti,12,0.00438,26395,9.63518,273944
378,viktor17492,12,0.00438,26407,9.63956,273944
379,alrra,11,0.00402,26418,9.64358,273944
380,apechimp,11,0.00402,26429,9.64759,273944
381,BeastCode,11,0.00402,26440,9.65161,273944
382,beaugunderson,11,0.00402,26451,9.65562,273944
383,bowenni,11,0.00402,26462,9.65964,273944
384,brenuart,11,0.00402,26473,9.66365,273944
385,CaselIT,11,0.00402,26484,9.66767,273944
386,chrismbarr,11,0.00402,26495,9.67168,273944
387,DaiMichael,11,0.00402,26506,9.67570,273944
388,ejpbruel,11,0.00402,26517,9.67972,273944
389,elidoran,11,0.00402,26528,9.68373,273944
390,geoffbass,11,0.00402,26539,9.68775,273944
391,hazendaz,11,0.00402,26550,9.69176,273944
392,hughsk,11,0.00402,26561,9.69578,273944
393,hzoo,11,0.00402,26572,9.69979,273944
394,is2ei,11,0.00402,26583,9.70381,273944
395,Isthu,11,0.00402,26594,9.70782,273944
396,justsml,11,0.00402,26605,9.71184,273944
397,jutaz,11,0.00402,26616,9.71585,273944
398,juthilo,11,0.00402,26627,9.71987,273944
399,MatiasPuhakka,11,0.00402,26638,9.72389,273944
400,matthewjh,11,0.00402,26649,9.72790,273944
401,maxogden,11,0.00402,26660,9.73192,273944
402,nesinervink,11,0.00402,26671,9.73593,273944
403,nicohvi,11,0.00402,26682,9.73995,273944
404,octref,11,0.00402,26693,9.74396,273944
405,pascal-cuoq,11,0.00402,26704,9.74798,273944
406,philippevk,11,0.00402,26715,9.75199,273944
407,PikadudeNo1,11,0.00402,26726,9.75601,273944
408,rupl,11,0.00402,26737,9.76002,273944
409,shinnn,11,0.00402,26748,9.76404,273944
410,StanislavUshakov,11,0.00402,26759,9.76805,273944
411,wgao19,11,0.00402,26770,9.77207,273944
412,whawker,11,0.00402,26781,9.77609,273944
413,alireza-mh,10,0.00365,26791,9.77974,273944
414,aorinevo,10,0.00365,26801,9.78339,273944
415,atefBB,10,0.00365,26811,9.78704,273944
416,bbolli,10,0.00365,26821,9.79069,273944
417,bertyhell,10,0.00365,26831,9.79434,273944
418,bhamodi,10,0.00365,26841,9.79799,273944
419,bmarkov,10,0.00365,26851,9.80164,273944
420,Bugcheckers,10,0.00365,26861,9.80529,273944
421,catchsudheera,10,0.00365,26871,9.80894,273944
422,cody,10,0.00365,26881,9.81259,273944
423,cyrilletuzi,10,0.00365,26891,9.81624,273944
424,Degubi,10,0.00365,26901,9.81989,273944
425,Dreamescaper,10,0.00365,26911,9.82354,273944
426,drskullster,10,0.00365,26921,9.82719,273944
427,FireAlkazar,10,0.00365,26931,9.83084,273944
428,flyyang,10,0.00365,26941,9.83449,273944
429,fmalcher,10,0.00365,26951,9.83814,273944
430,graveto,10,0.00365,26961,9.84179,273944
431,jamiebuilds,10,0.00365,26971,9.84544,273944
432,jaredly,10,0.00365,26981,9.84909,273944
433,johanlef,10,0.00365,26991,9.85274,273944
434,JohannesHoppe,10,0.00365,27001,9.85639,273944
435,keertip,10,0.00365,27011,9.86004,273944
436,khellang,10,0.00365,27021,9.86369,273944
437,martinsik,10,0.00365,27031,9.86735,273944
438,max-b,10,0.00365,27041,9.87100,273944
439,MaximilianTews,10,0.00365,27051,9.87465,273944
440,MaximLipnin,10,0.00365,27061,9.87830,273944
441,meeque,10,0.00365,27071,9.88195,273944
442,MisatoTremor,10,0.00365,27081,9.88560,273944
443,mojavelinux,10,0.00365,27091,9.88925,273944
444,morrissey-ingenious,10,0.00365,27101,9.89290,273944
445,mpociecha,10,0.00365,27111,9.89655,273944
446,namiltd,10,0.00365,27121,9.90020,273944
447,nattress,10,0.00365,27131,9.90385,273944
448,Pereida,10,0.00365,27141,9.90750,273944
449,pfmooney,10,0.00365,27151,9.91115,273944
450,piotrtomiak,10,0.00365,27161,9.91480,273944
451,PiPeep,10,0.00365,27171,9.91845,273944
452,samjulien,10,0.00365,27181,9.92210,273944
453,simPod,10,0.00365,27191,9.92575,273944
454,the-dwyer,10,0.00365,27201,9.92940,273944
455,urish,10,0.00365,27211,9.93305,273944
456,valery1707,10,0.00365,27221,9.93670,273944
457,vargaz,10,0.00365,27231,9.94035,273944
458,vweevers,10,0.00365,27241,9.94400,273944
459,WilliamCollishaw,10,0.00365,27251,9.94765,273944
460,xcatliu,10,0.00365,27261,9.95130,273944
461,aavmurphy,9,0.00329,27270,9.95459,273944
