Order,Company,Index,File/Directory,Number,Percent
By changed lines,Docker,10,/plugin/pkg/scheduler/algorithm,362,6.392
By changed lines,Docker,10,/pkg/util/util.go,360,6.357
By changed lines,Docker,10,/pkg/volume/git_repo,346,6.11
All By changed lines,Caicloud,11,"",3217,0.216
By changed lines,Caicloud,11,/pkg,2438,75.785
By changed lines,Caicloud,11,/pkg/controller,1216,37.799
By changed lines,Caicloud,11,/pkg/controller/deployment,609,18.931
By changed lines,Caicloud,11,/pkg/controller/deployment/deployment_controller_test.go,338,10.507
By changed lines,Caicloud,11,/pkg/util,332,10.32
By changed lines,Caicloud,11,/Godeps,309,9.605
By changed lines,Caicloud,11,/Godeps/_workspace/src/github.com/ssoroka/ttime,300,9.325
By changed lines,Caicloud,11,/pkg/controller/deployment/deployment_controller.go,271,8.424
By changed lines,Caicloud,11,/plugin/pkg/scheduler,233,7.243
All By changed lines,Diamanti,12,"",3060,0.205
By changed lines,Diamanti,12,/pkg,1426,46.601
By changed lines,Diamanti,12,/pkg/volume,1025,33.497
By changed lines,Diamanti,12,/pkg/volume/flexvolume,983,32.124
By changed lines,Diamanti,12,/plugin/pkg/scheduler,823,26.895
By changed lines,Diamanti,12,/pkg/volume/flexvolume/flexvolume.go,388,12.68
By changed lines,Diamanti,12,/pkg/volume/flexvolume/flexvolume_test.go,374,12.222
By changed lines,Diamanti,12,/test/integration/extender_test.go,332,10.85
By changed lines,Diamanti,12,/plugin/pkg/scheduler/extender_test.go,302,9.869
By changed lines,Diamanti,12,/examples,270,8.824
By changed lines,Diamanti,12,/pkg/api,246,8.039
By changed lines,Diamanti,12,/examples/flexvolume,242,7.908
All By changed lines,Apache,13,"",2858,0.192
By changed lines,Apache,13,/examples,1141,39.923
By changed lines,Apache,13,/test/e2e,978,34.22
By changed lines,Apache,13,/examples/high-availability,812,28.411
By changed lines,Apache,13,/pkg,636,22.253
By changed lines,Apache,13,/pkg/client,401,14.031
By changed lines,Apache,13,/pkg/client/unversioned,391,13.681
By changed lines,Apache,13,/examples/k8petstore,310,10.847
By changed lines,Apache,13,/test/e2e/e2e.go,239,8.362
By changed lines,Apache,13,/test/e2e/e2e_test.go,212,7.418
By changed lines,Apache,13,/test/e2e/networking.go,205,7.173
By changed lines,Apache,13,/examples/high-availability/provision.sh,181,6.333
By changed lines,Apache,13,/test/e2e/k8petstore.go,170,5.948
By changed lines,Apache,13,/examples/k8petstore/dev,137,4.794
By changed lines,Apache,13,/examples/high-availability/kube-apiserver.manifest,115,4.024
All By changed lines,Rook,14,"",1886,0.127
By changed lines,Rook,14,/Godeps,1171,62.089
By changed lines,Rook,14,/Godeps/_workspace/src/github.com,1167,61.877
By changed lines,Rook,14,/Godeps/_workspace/src/github.com/boltdb/bolt,825,43.743
By changed lines,Rook,14,/docs,388,20.573
By changed lines,Rook,14,/docs/getting-started-guides,385,20.414
By changed lines,Rook,14,/Godeps/_workspace/src/github.com/onsi/ginkgo,342,18.134
By changed lines,Rook,14,/docs/getting-started-guides/docker-multinode,337,17.869
By changed lines,Rook,14,/Godeps/_workspace/src/github.com/boltdb/bolt/README.md,244,12.937
By changed lines,Rook,14,/Godeps/_workspace/src/github.com/boltdb/bolt/db.go,203,10.764
By changed lines,Rook,14,/Godeps/_workspace/src/github.com/onsi/ginkgo/extensions/table,179,9.491
All By changed lines,Net EASE 网易有态度,15,"",1664,0.112
By changed lines,Net EASE 网易有态度,15,/pkg,1237,74.339
By changed lines,Net EASE 网易有态度,15,/pkg/kubectl,791,47.536
By changed lines,Net EASE 网易有态度,15,/docs,355,21.334
By changed lines,Net EASE 网易有态度,15,/pkg/kubectl/cmd,330,19.832
By changed lines,Net EASE 网易有态度,15,/pkg/kubectl/resource_printer.go,250,15.024
By changed lines,Net EASE 网易有态度,15,/pkg/kubectl/resource_printer_test.go,197,11.839
By changed lines,Net EASE 网易有态度,15,/pkg/client/cache,190,11.418
By changed lines,Net EASE 网易有态度,15,/docs/user-guide,187,11.238
By changed lines,Net EASE 网易有态度,15,/pkg/client/cache/listers_test.go,186,11.178
By changed lines,Net EASE 网易有态度,15,/docs/user-guide/kubectl,186,11.178
By changed lines,Net EASE 网易有态度,15,/docs/man/man1,167,10.036
By changed lines,Net EASE 网易有态度,15,/pkg/kubectl/cmd/cmd_test.go,106,6.37
By changed lines,Net EASE 网易有态度,15,/pkg/kubectl/cmd/util,102,6.13
All By changed lines,Self,16,"",1578,0.106
By changed lines,Self,16,/pkg,1118,70.849
By changed lines,Self,16,/pkg/registry/configmap,514,32.573
By changed lines,Self,16,/docs,400,25.349
By changed lines,Self,16,/pkg/apis/extensions,380,24.081
By changed lines,Self,16,/docs/proposals,320,20.279
By changed lines,Self,16,/docs/proposals/config_data.md,315,19.962
By changed lines,Self,16,/pkg/registry/configmap/etcd,228,14.449
By changed lines,Self,16,/pkg/client/unversioned,211,13.371
By changed lines,Self,16,/pkg/apis/extensions/v1beta1,180,11.407
By changed lines,Self,16,/pkg/registry/configmap/etcd/etcd_test.go,149,9.442
By changed lines,Self,16,/pkg/apis/extensions/validation,133,8.428
By changed lines,Self,16,/pkg/client/unversioned/configmap.go,123,7.795
All By changed lines,NotFound,17,"",736,0.049
By changed lines,NotFound,17,/pkg,403,54.755
By changed lines,NotFound,17,/pkg/kubelet,293,39.81
By changed lines,NotFound,17,/test/e2e/pods.go,290,39.402
By changed lines,NotFound,17,/pkg/kubelet/container,176,23.913
By changed lines,NotFound,17,/pkg/kubelet/container/image_puller_test.go,119,16.168
By changed lines,NotFound,17,/pkg/kubelet/dockertools,101,13.723
